130.66 42.48 578.7 2.67 1.92 -4.59 2.34 -25.0 -5.91 25 130.66 42.48
123.41 6.69 614.0 -2.1 2.31 -0.2 -5.58 -8.27 1.17 25 123.41 6.69
146.83 -7.49 132.9 -9.3 -178.0 188.0 -117.0 472.0 132.0 24 146.83 -7.49
145.7 49.97 598.2 3.84 -1.87 -1.97 -2.74 -0.508 -2.15 27 145.7 49.97
139.94 26.94 511.5 -3.56 4.17 -0.613 2.32 -5.22 -2.61 25 139.94 26.94
153.77 54.61 611.0 -1.67 0.382 1.28 -0.784 -3.57 0.155 28 153.77 54.61
126.68 -6.47 468.7 -9.41 3.25 6.16 7.13 24.4 -0.93 25 126.68 -6.47
143.24 42.85 105.3 -3.27 6.73 -3.47 30.6 -1.63 2.13 25 143.24 42.85
108.07 -4.95 622.8 -8.94 3.99 4.95 -4.21 -4.83 -3.81 25 108.07 -4.95
94.78 23.02 149.8 2.48 -2.74 0.257 -1.3 -0.569 1.1 26 94.78 23.02
152.81 53.2 585.5 -1.07 1.25 -0.184 -0.443 -0.866 0.039 26 152.81 53.2
147.16 -5.66 208.6 1.85 -2.27 0.425 0.387 -0.934 0.701 26 147.16 -5.66
